EOF

1		class	CLASS
44		flag	IDENTIFIER

44		=	EQ

44		true	TRUE

44		;	SEMI

45		}	RBRACE

46		return	RETURN

46		flag	IDENTIFIER

46		;	SEMI

47		}	RBRACE

49		public	PUBLIC

49		int	INT

49		Juggling	IDENTIFIER

49		(	LPAREN

49		)	RPAREN

49		{	LBRACE

50		boolean	BOOLEAN

50		t	IDENTIFIER

50		;	SEMI

51		int	INT

51		tmp1	IDENTIFIER

51		;	SEMI

52		int	INT

52		tmp2	IDENTIFIER

52		;	SEMI

53		int	INT

53		tmp3	IDENTIFIER

53		;	SEMI

54		tmp1	IDENTIFIER

54		=	EQ

54		2	INTEGERLITERAL

54		;	SEMI

55		tmp2	IDENTIFIER

55		=	EQ

55		3	INTEGERLITERAL

55		;	SEMI

56		tmp3	IDENTIFIER

56		=	EQ

56		4	INTEGERLITERAL

56		;	SEMI

57		while	WHILE

57		(	LPAREN

57		(	LPAREN

57		tmp2	IDENTIFIER

57		<	LT

57		tmp3	IDENTIFIER

57		)	RPAREN

57		&&	AMPAMP

57		(	LPAREN

57		tmp1	IDENTIFIER

57		<	LT

57		tmp2	IDENTIFIER

57		)	RPAREN

57		)	RPAREN

57		{	LBRACE

58		tmp1	IDENTIFIER

58		=	EQ

58		tmp3	IDENTIFIER

58		-	SUB

58		tmp2	IDENTIFIER

58		;	SEMI

59		tmp2	IDENTIFIER

59		=	EQ

59		tmp2	IDENTIFIER

59		-	SUB

59		tmp1	IDENTIFIER

59		;	SEMI

60		tmp3	IDENTIFIER

60		=	EQ

60		tmp2	IDENTIFIER

60		*	STAR

60		tmp1	IDENTIFIER

60		;	SEMI

61		t	IDENTIFIER

61		=	EQ

61		this	THIS

61		.	DOT

61		HolyLight	IDENTIFIER

61		(	LPAREN

61		)	RPAREN

61		;	SEMI

62		}	RBRACE

63		return	RETURN

63		(	LPAREN

63		tmp1	IDENTIFIER

63		*	STAR

63		tmp2	IDENTIFIER

63		+	PLUS

63		tmp3	IDENTIFIER

63		)	RPAREN

63		*	STAR

63		messagelist	IDENTIFIER

63		.	DOT

63		length	LENGTH

63		;	SEMI

64		}	RBRACE

67		public	PUBLIC

67		boolean	BOOLEAN

67		HolyLight	IDENTIFIER

67		(	LPAREN

67		)	RPAREN

67		{	LBRACE

68		in	IDENTIFIER

68		=	EQ

68		in	IDENTIFIER

68		+	PLUS

68		1	INTEGERLITERAL

68		;	SEMI

69		out	IDENTIFIER

69		=	EQ

69		out	IDENTIFIER

69		-	SUB

69		1	INTEGERLITERAL

69		;	SEMI

70		System.out.println	SYSTEM_OUT_PRINTLN

70		(	LPAREN

70		false	FALSE

70		)	RPAREN

70		;	SEMI

71		return	RETURN

71		true	TRUE

71		;	SEMI

72		}	RBRACE

73		}	RBRACE

75		class	CLASS

75		MyClient	IDENTIFIER

75		extend	IDENTIFIER

75		Client	IDENTIFIER

75		{	LBRACE

77		public	PUBLIC

77		int	INT

77		start	IDENTIFIER

77		(	LPAREN

77		int	INT

77		host	IDENTIFIER

77		,	COMMA

77		int	INT

77		port	IDENTIFIER

77		)	RPAREN

77		{	LBRACE

78		int	INT

78		handle	IDENTIFIER

78		;	SEMI

79		handle	IDENTIFIER

79		=	EQ

79		this	THIS

79		.	DOT

79		run	IDENTIFIER

79		(	LPAREN

79		)	RPAREN

80		return	RETURN

80		handle	IDENTIFIER

80		;	SEMI

81		}	RBRACE

82		}	RBRACE

EOF

